Country,APR,Corruption,Homicide,Theft,Alcohol,Income,Unemployment,Tourism,Investment,Education,Traffic,Distance,Prostitution,HighIncome,LowIncome,LowerMiddleIncome,UpperMiddleIncome,Africa,Americas,Asia,Europe,MiddleEast
Germany,26.95205868,-1.80206429,0.908333333,0.5,31.7,3995.432423,8.091666818,2.44E+07,98285.83333,11.4925,4.7,7861.09,1,1,0,0,0,0,0,0,1,0
Ghana,247.6373736,0.096179773,6.1,0.991666667,43.9,410.4724271,5.099999905,758666.6667,1393.416667,6.889166667,22.2,9887.4,0,0,0,1,0,1,0,0,0,0
Greece,27.95101384,-0.143143143,1.308333333,0,33.1,2576.27613,13.03333338,1.51E+07,1597.583333,9.780833333,12.2,9408.42,1,1,0,0,0,0,0,0,1,0
Grenada,125.5194482,-0.499122724,10.275,1.5,56,751.5239222,8.308333333,121500,5.166666667,8.508333333,11.45,4373.32,0,0,0,0,1,0,1,0,0,0
Guatemala,4097.042133,0.58332213,40.48333333,1.408333333,19.5,642.7889194,2.933333298,1551083.333,757.9166667,4.2025,6.7,2429.9,1,0,0,1,0,0,1,0,0,0
Guyana,123.8240087,0.56284494,18.39166667,1,29.9,642.2669228,11.59999998,137083.3333,105,8.508333333,27.8,5176.26,0,0,0,1,0,0,1,0,0,0
Haiti,253.0450702,1.36046357,6.516666667,0,25.1,299.9313086,7.358333349,230250,56.58333333,4.79,7.5,3040.92,0,0,1,0,0,0,1,0,0,0
Honduras,7582.33541,0.837930645,66.45,2.2,18.2,594.1417262,4.12499998,772583.3333,726.5833333,5.988333333,18.8,2607.41,1,0,0,1,0,0,1,0,0,0
Hungary,101.9957981,-0.452144022,1.608333333,0.075,36.4,2548.637744,8.408333262,9841731.481,4164.416667,11.60833333,9.1,8651.64,1,0,0,0,1,0,0,0,1,0
India,83.03016294,0.45961342,3.65,0.1,62.7,538.5120063,3.89166671,4831333.333,15865.41667,5.683333333,18.9,13576.02,1,0,0,1,0,0,0,1,0,0
Indonesia,666.4159503,0.776561961,0.616666667,0.4,15.9,812.0856741,8.458333333,6157750,8989,6.495,17.7,14961.09,1,0,0,1,0,0,0,1,0,0
Iran,71.11755927,0.608110512,4.1,0,52.1,2578.799663,12.10000014,2518583.333,-0.166666667,8.145833333,34.1,11241.04,0,0,0,0,1,0,0,0,0,1
Iraq,155.319845,1.385931681,8,0.8,20.1,1079.501862,18.4666667,304041.6667,298,6.490833333,31.5,11135.32,0,0,0,0,1,0,0,0,0,1
Ireland,50.42797664,-1.581308772,1.216666667,0.3,31.7,3282.621355,8.400000016,7404833.333,126336,11.48333333,4.7,6632.8,1,1,0,0,0,0,0,0,1,0
Israel,212.6609934,-0.879994606,2.308333333,0.1,10.8,2937.240177,7.924999952,2131666.667,8541.166667,11.72083333,4.7,10859.52,1,1,0,0,0,0,0,0,0,1
Italy,34.40735393,-0.249724821,1.025,0,20.7,2943.739283,8.399999857,4.22E+07,26272.08333,9.2175,7.2,8618.64,1,1,0,0,0,0,0,0,1,0
Jamaica,318.520411,0.444179547,49.65,0.4,23.1,1345.232481,11.92499987,1697333.333,1364.25,9.6,11.6,2772.26,0,0,0,0,1,0,1,0,0,0
Japan,17.79778008,-1.340389028,0.458333333,0,22.4,3862.325913,4.541666667,7318666.667,94482.25,11.31,5.2,10149.95,1,1,0,0,0,0,0,1,0,0
Kazakhstan,273.2932475,0.9561237,10.75,0.575,53.8,4014.296234,7.050000072,3547833.333,7040.75,11.245,21.9,10395.49,1,0,0,0,1,0,0,1,0,0
Kenya,377.9485981,0.960457047,4.6,3.141666667,41.2,461.4893999,9.433333317,1327166.667,221.5833333,6.073333333,20.9,13721.25,0,0,1,0,0,1,0,0,0,0
Kuwait,161.9712674,-0.500225605,0.4,0,2.9,10483.0329,2.016666651,210500,275.3333333,6.165,16.5,11693.76,0,1,0,0,0,0,0,0,0,1
Laos,229.4490793,1.181163823,5.9,0.375,33.1,110,1.574999978,1174833.333,-1.25,4.660833333,20.4,13400.67,0,0,0,1,0,0,0,1,0,0
Latvia,111.795304,-0.170429015,5.625,0.358333333,39.5,2033.08236,11.73333347,1323916.667,27.33333333,10.16,10.8,8165.35,1,1,0,0,0,0,0,0,1,0
Lebanon,209.1795975,0.758228049,2.908333333,0.05,51.5,1360.62993,7.391666532,1326083.333,167.0833333,7.9,22.3,10668.46,1,0,0,0,1,0,0,0,0,1
Liberia,283.6162759,0.763953641,3.583333333,2.8,33.9,64,4.324999968,500,530.9166667,3.876666667,19,9247.79,0,0,1,0,0,1,0,0,0,0
Lithuania,218.7148391,-0.192520443,8.641666667,0.666666667,51,2662.734581,11.08333329,1712000,26.08333333,10.33583333,11.1,8265.17,0,1,0,0,0,0,0,0,1,0
Macedonia,203.9714872,0.29413579,2.041666667,0.541666667,24.9,1417.936507,33.61666679,242000,3.833333333,7.325,7.9,9217,0,0,0,0,1,0,0,0,1,0
Malaysia,122.1024977,-0.225792554,2.39,0.5,22.8,2497.541635,3.358333329,2.00E+07,11254.91667,9.798333333,25,15069.77,0,0,0,0,1,0,0,1,0,0
Moldova,183.1942648,0.704833781,7.4,0.266666667,55.1,925.8534164,6.483333389,13916.66667,1.833333333,9.756666667,13.9,9157.97,0,0,0,1,0,0,0,0,1,0
Morocco,516.5042471,0.295531168,1.65,0,36.6,474.819889,9.975000064,7344416.667,353.1666667,4.416666667,18,7837.27,0,0,0,1,0,1,0,0,0,0
Nepal,199.1596158,0.642237249,3.191666667,0.941666667,61.8,367.8735041,2.574999988,525500,2.5,3.631666667,16,12732.84,0,0,1,0,0,0,0,1,0,0
Netherlands,68.17923619,-2.115086903,0.991666667,0,24.4,4776.598282,4.141666651,1.05E+07,406057.4167,10.99916667,3.9,7505.72,1,1,0,0,0,0,0,0,1,0
New Zealand,153.4988871,-2.358787815,1.158333333,0,29.4,4152.594846,5.158333341,2351000,5973.916667,11.50416667,9.1,12549.39,1,1,0,0,0,0,0,1,0,0
Nicaragua,997.179682,0.648535989,12.45,1.491666667,22,514.9668998,6.674999992,851250,228.9166667,6.0725,18.8,2889.3,1,0,0,1,0,0,1,0,0,0
Nigeria,231.0351519,1.118893166,20,3.4,50.1,734.2306747,7.599999905,4168583.333,3589.916667,5.016666667,33.7,10648.65,0,0,0,1,0,1,0,0,0,0
Norway,30.30316588,-2.088178178,0.9,0,19.5,5956.838372,3.550000012,4268000,20524.58333,11.52666667,4.3,7186.46,1,1,0,0,0,0,0,0,1,0
Pakistan,359.4133653,0.935050935,6.9,0.4,3,478.8189889,5.933333317,805500,499.9166667,4.695,17.4,12352.97,0,0,0,1,0,0,0,1,0,0
Panama,182.4135133,0.327492974,15.19166667,0.408333333,28.9,945.2311765,7.866666635,1079833.333,5437.75,9.1,14.1,3513.33,1,0,0,0,1,0,1,0,0,0
Peru,325.6412302,0.289240129,8.941666667,0.491666667,31.5,565.9964514,4.699999968,1982750,6383.5,9.151666667,15.9,5580.07,1,0,0,0,1,0,1,0,0,0
Philippines,49.3676373,0.640992815,7.833333333,1.1,26.5,439.7049178,8.408333302,3098666.667,5682.666667,8.185833333,9.1,13215.51,0,0,0,1,0,0,0,1,0,0
Poland,96.85051048,-0.346917322,1.408333333,0.375,50.7,2484.855939,12.88333348,1.41E+07,10344.41667,10.89666667,11.8,8279.33,1,1,0,0,0,0,0,0,1,0
Portugal,83.06030614,-1.040957645,1.3,0.2,47.1,2308.307401,9.5,6597416.667,2553.083333,7.289166667,11.8,7317.14,1,1,0,0,0,0,0,0,1,0
Romania,272.6308235,0.23140643,1.991666667,0.325,46.3,1820.418414,7.116666754,7027750,1106.583333,10.3625,11.1,9045.42,0,0,0,0,1,0,0,0,1,0
Russia,89.01272108,0.932520181,10.21666667,0.633333333,48.3,4788.670122,6.958333333,2.39E+07,11369.33333,11.235,18.6,8885.66,0,1,0,0,0,0,0,0,1,0
Saudi Arabia,242.5673905,0.121308869,0.8,0,8,6094.326537,5.658333341,1.09E+07,6130.25,7.8175,24.8,12088.65,0,1,0,0,0,0,0,0,0,1
Sierra Leone,337.6759531,0.909410348,2.458333333,0.8,42.4,35,3.375000079,42333.33333,3.166666667,3.446666667,22.6,8905.05,0,0,1,0,0,1,0,0,0,0
Singapore,55.33639886,-2.229114771,0.416666667,0,7.9,5831.571469,3.683333337,8121333.333,91695.83333,9.57,5.1,15289.17,1,1,0,0,0,0,0,1,0,0
South Africa,132.4205031,-0.216090088,36.30833333,1,58.5,2703.682255,24.45000029,8059250,4751.5,8.754166667,31.9,14398.08,0,0,0,0,1,1,0,0,0,0
South Korea,53.7843436,-0.450980564,0.9,0,54.9,4685.833523,3.425000012,7622583.333,23663.66667,11.55666667,14.1,10736,0,1,0,0,0,0,0,1,0,0
Spain,87.06368559,-1.121388922,1.033333333,0.2,35,2970.81427,15.32500029,5.51E+07,47036.5,9.8725,5.4,7588.55,0,1,0,0,0,0,0,0,1,0
Sri Lanka,341.3233545,0.256656416,5.95,0.1,43.6,470.4755174,6.166666587,635083.3333,78.08333333,10.20916667,13.7,15001.28,0,0,0,1,0,0,0,1,0,0
St. Vincent and the Grenadines,177.4735223,-0.826702093,21.1,1.3,25.7,618.0086387,17.85,81666.66667,2.416666667,8.416666667,4.6,4341.34,0,0,0,0,1,0,1,0,0,0
Sudan,376.8662626,1.306723704,11.2,0.5,51.9,371.1417903,14.86666663,344833.3333,1.416666667,3.0875,25.1,12096.21,0,0,0,1,0,1,0,0,0,0
Sweden,60.95706102,-2.236130953,0.95,0.3,28.4,5429.220181,7.191666722,4756000,30763.08333,11.64583333,3,7667.09,1,1,0,0,0,0,0,0,1,0
Switzerland,36.97581277,-2.111020605,0.825,0,26.2,3420.212825,3.991666675,7920458.333,112064.75,11.18083333,4.3,8010.82,1,1,0,0,0,0,0,0,1,0
Syria,204.5043116,0.919075141,3.808333333,0.8,35.3,1000.690833,9.891666571,3789000,1.416666667,5.836666667,22.9,10751.61,0,0,0,1,0,0,0,0,0,1
Thailand,116.8552936,0.281128139,6.408333333,0.1,51.9,1602.548429,1.191666668,1.54E+07,10900.16667,7.005,38.1,13870.81,0,0,0,0,1,0,0,1,0,0
Trinidad and Tobago,198.5686445,0.23057713,28.15833333,0.5,28.8,13918.16871,6.691666683,425083.3333,4403.5,10.12083333,16.7,4527.3,0,1,0,0,0,0,1,0,0,0
Turkey,276.627643,0.043172802,3.608333333,0.208333333,37.8,1374.254525,10.72499998,2.56E+07,3883.75,6.570833333,12,10181.16,1,0,0,0,1,0,0,1,0,0
Ukraine,83.03953205,0.896655803,5.733333333,0.5,44.2,2834.483687,7.858333508,1.96E+07,605,10.9,13.5,9158.03,0,0,0,1,0,0,0,0,1,0
United Kingdom,58.64538641,-1.773993999,1.383333333,0,29.8,3384.922265,6.241666714,2.79E+07,430806.1667,11.185,3.7,6830.07,1,1,0,0,0,0,0,0,1,0
Uruguay,343.3784508,-1.1025071,6.441666667,0.516666667,27.2,1085.794696,7.800000072,2018583.333,957.0833333,8.0575,21.5,8780.13,1,1,0,0,0,0,1,0,0,0
Uzbekistan,288.6774181,1.101766134,3.8525,0.283333333,25.7,1807.943165,10.98333335,726166.6667,52,10.73333333,11.3,11062.28,0,0,0,1,0,0,0,1,0,0
Venezuela,277.3969325,1.083582068,45.83333333,1.441666667,32.8,2297.168566,10.28333342,624666.6667,11198.75,7.61,37.2,4507.78,1,0,0,0,1,0,1,0,0,0
Vietnam,69.88655184,0.632742157,3.3,0.3,37.7,576.1841391,2.216666619,4404250,582.6666667,6.468333333,24.7,13797.25,0,0,0,1,0,0,0,1,0,0
Yemen,364.567276,0.954466378,4.2875,0.6,13.2,308.5983326,15.81666676,789166.6667,408.5,3.061666667,23.7,13065.26,0,0,0,1,0,0,0,0,0,1
