Country	APR	Corruption	Homicide	Theft	Alcohol	Income	Unemployment	Tourism	Investment	Education	Traffic	Distance	Prostitution	HighIncome	LowIncome	LowerMiddleIncome	UpperMiddleIncome	Africa	Americas	Asia	Europe	MiddleEast
"Malaysia"	122.10249771939972	-0.22579255420714617	2.3899999999999997	0.5	22.8	2497.5416346291913	3.358333329359691	1.9991416666666668E7	11254.916666666666	9.798333333333334	25.0	15069.77	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Mexico"	7307.119089126886	0.3021020193894704	14.183333333333332	1.0083333333333335	27.5	1524.7378537799705	4.058333357175193	2.1883333333333332E7	81229.66666666667	8.365833333333333	14.7	1632.45	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"Moldova"	183.19426483573656	0.704833780725797	7.399999999999999	0.26666666666666666	55.1	925.8534164487988	6.483333388964335	13916.666666666666	1.8333333333333333	9.756666666666668	13.9	9157.97	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
"Morocco"	516.5042470642443	0.2955311679591735	1.6500000000000001	0.0	36.6	474.8198889802959	9.97500006357829	7344416.666666667	353.1666666666667	4.416666666666667	18.0	7837.27	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
"Myanmar"	36.929561103393326	1.4977302054564159	15.199999999999998	0.09999999999999999	18.4	282.0354189586022	3.433333377043405	327916.6666666667	0.3333333333333333	4.301666666666667	15.0	13340.39	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Nepal"	199.1596157554817	0.6422372485200564	3.1916666666666664	0.9416666666666668	61.8	367.873504148059	2.5749999880790733	525500.0	2.5	3.6316666666666677	16.0	12732.84	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Netherlands"	68.17923618574243	-2.1150869031747184	0.9916666666666668	0.0	24.4	4776.598281755648	4.141666650772095	1.051075E7	406057.4166666667	10.999166666666667	3.9	7505.72	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"New Zealand"	153.49888710847637	-2.3587878147761026	1.1583333333333334	0.0	29.4	4152.59484591583	5.15833334128062	2351000.0	5973.916666666667	11.504166666666665	9.1	12549.39	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Nicaragua"	997.1796819940199	0.6485359892249107	12.450000000000001	1.4916666666666665	22.0	514.9668997522356	6.674999992052714	851250.0	228.91666666666666	6.072500000000001	18.8	2889.3	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"Nigeria"	231.0351519336535	1.1188931663831074	20.0	3.4000000000000004	50.1	734.230674729242	7.599999904632569	4168583.3333333335	3589.9166666666665	5.0166666666666675	33.7	10648.65	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
